Top Accounts,username,Categories
Katy Perry,katyperry,Musician
Justin Bieber,justinbieber,Musician
Barack Obama,BarackObama,Politician
Taylor Swift,taylorswift13,Musician
Rihanna,rihanna,Musician
YouTube,YouTube,"Product, Technology"
Ellen DeGneres(The Ellen Show),TheEllenShow,"TV Host, TV show"
Lady Gaga,ladygaga,Musician
Twitter,Twitter,"Technology, Brand"
Justin Timberlake,jtimberlake,Musician
Britney Spears,britneyspears,Musician
Cristiano Ronaldo,cristaino,"Athlete, Scoccer"
Kim Kardashian,KimKardashian,Reality Star
CNN Breaking News,cnnbrk,"News, World"
Selena Gomez,selenagomez,"Actor, Musician"
Jimmy Fallon,jimmyfallon,"TV Host, Comedian"
Shakira,shakira,Musician
Demi Lovato,ddlovato,"Musician, Actor"
Jennifer Lopez,Jlo,"Musician, Actor"
Instagram,instagram,"Product, Technology"
Oprah Winfrey,Oprah,TV Host
Drake ,Drake,Musician
LeBron James,KingJames,"Athlete, NBA"
New York Times,nytimes,"News, U.S."
Bill Gates,BillGates,Executive
CNN ,CNN,"News, U.S."
Kevin Hart,KevinHart4real,Comedian
Miley Cyrus,MileyCyrus,Musician
One Direction,onedirection,Musician
Sports Center,SportsCenter,TV Show
ESPN,espn,"News, Sports"
BBC Breaking News,BBCBreaking,"News, World"
Harry Styles,Harry_Styles,Musician
Pink ,Pink,Musician
Lil Wayne,LilTunechi,Musician
Wiz Khalifa,Wizkhalifa,Musician
Niall Horan,NiallOfficial,Musician
Bruno Mars,BrunoMars,Musician
Adele,Adele,Musician
Neymar,neymarjr,"Athlete, Soccer"
Kanye West,kanyewest,Musician
Ricardo KaKÃ ,KAKA,"Athlete, Soccer"
Neil Patrick Harris,ActuallyNPH,Actor
Donald J. Trump,realDonaldTrump,Executive
Daniel Tosh ,danieltosh,"TV Host, Comedian"
Amitabh Bachchan,SrBachchan,Actor
Alicia Keys,aliciakeys,Musician
NBA,NBA,"Sports Team, NBA"
Louis Tomlinson,Louis_Tomlinson,Musician
Emma Watson,EmmaWatson,Actor
Liam Payne,LiamPayne,Musician
Shah Rukh Khan,iamsrk,Actor
Pitbull,pitbull,Musician
Khloe Karashian,khloekardashian,Reality Star
Conan O' Brien,ConanOBrien,"TV Host, Comedian"
Real Madrid CF,realmadrid,Sports Team
NASA,NASA,Organization
Kourtney Kardashian,kourtneykardash,Reality Star
NFL,NFL,"Sports Team, NFL"
Kendall Jenner,KendallJenner,Reality Star
David Guetta,davidguetta,Musician
Zayn Malik,zaynmalik,Musician
Eminem,Eminem,Musician
Nicki Minaj,NICKIMINAJ,Musician
Avril Lavigne,AvrilLavigne,Musician
FC Barcelona,FCBarcelona,Sports Team
Aamir Khan,aamir_khan,Actor
Chris Brown,chrisbrown,Musician
Coldplay,coldplay,Musician
The Economist,TheEconomist,"News, World"
BBC World News,BBCWorld,"News, World"
Ashton Kutcher,aplusk,Actor
Mariah Carey,MariahCarey,Musician
Google,Google,"Brand, Technology"
Leonardo DiCaprio,LeoDiCaprio,Actor
Reuters,Reuters,"News, World"
RIcky martin,ricky_martin,Musician
Priyanka Chopra,priyankachopra,Actor
Christina Aguilera,xtina,Musician
Agnes monica,agnezmo,Musician
Snoop Dogg,SnoopDogg,Musician
National Geographic,NatGeo,"News, Travel Channel"
Ryan Seacrest,RyanSeacrest,TV Host
Twitter Español,TwitterLatAm ,Brand
Alejandro Sanz,AlejandroSanz,Musician
Jim Carrey,JimCarrey,"Actor, Comedian"
Kevin Durant,KDTrey5,"Athlete, NBA"
Ivete Sangalo,ivetesangalo,Musician
Andres Iniesta,andresiniesta8,"Athlete, Soccer"
CNN en Español,CNNEE,"News, World"
MTV,MTV,"TV Show, MTV"
Danilo Gentili,DaniloGentili,Comedian
Sachin Tendulkar,sachin_rt,"Athlete, Other"
Beyonce,Beyonce,Musician
Paris Hilton,ParisHilton,Actor
Wayne Rooney,WayneRooney,"Athlete, Scoccer"
Ronaldinho Gaucho,10Ronaldinho,"Athlete, Scoccer"
Funny or Die,funnyordie,"Brand, Media"
Facebook,facebook,"Brand, Technology"
The White House,ObamaWhiteHouse,
